YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,WD10M
1985,11,11,32.54,22.33,26.79,82.81,16.58,1.6,0.6,210.81
1985,11,12,32.31,23.46,26.84,84.19,4.44,1.38,0.2,213.94
1985,11,13,34.31,23.23,27.29,83.62,41.67,1.07,0.7,161.19
1985,11,14,30.71,22.41,25.89,85.5,42.09,1.62,0.03,224.75
1985,11,15,30.6,22.86,26.1,82.69,17.77,1.28,0.38,179.88
1985,11,16,28.37,22.64,25.06,88.75,3.48,1.94,0.66,269.56
1985,11,17,29.56,22.32,25.25,89.19,7.72,2.76,1.12,277
1985,11,18,27.6,22.3,24.62,93.56,8.75,1.81,1.1,282.25
1985,11,19,26.64,23,24.37,94.19,5.57,2.3,0.95,271.5
1985,11,20,28.23,22.09,24.65,89.31,1.61,2.09,0.94,287.12
1985,11,21,29.63,22.56,25.29,89.81,1.89,1.91,1.18,274.44
1985,11,22,28.13,23.15,24.83,90.62,4.29,2.88,1.12,263.44
1985,11,23,27.15,22.08,24.23,92.25,16.28,2.11,1.17,259.38
1985,11,24,28.54,22.44,24.83,91.19,12.32,2.34,1.13,271
1985,11,25,27.73,22.61,24.87,90.69,9.05,1.61,0.94,284.44
1985,11,26,28.58,22.84,25.06,90.25,6.65,1.73,0.93,272.75
1985,11,27,31.29,22.2,26.65,80.88,2.38,1.3,0.24,238.75
1985,11,28,28.44,23.18,25.39,91.06,12.61,1.18,0.66,189.19
1985,11,29,29.65,22.99,25.73,87.88,18.59,1.47,0.69,175.88
1985,11,30,30.06,22.97,25.26,90.75,7.51,1.34,0.13,253.44
1985,12,1,27.53,22.4,24.54,90.62,4.44,1.29,0.34,208
1985,12,2,29.5,22.24,25.04,89.81,2.02,2.04,1.12,29.5
1985,12,3,27.22,22.05,24.39,94.12,13.85,1.84,0.57,121.94
1985,12,4,27.46,22,24.23,90.75,5.47,2.01,0.79,117.19
1985,12,5,29.07,21.66,25.18,87.94,3.71,1.61,0.62,284.69
1985,12,6,33.37,22.55,26.79,84.56,4.28,1.08,0.05,225.31
1985,12,7,34.06,23.23,27.12,82.12,5.86,0.99,0.26,175.56
1985,12,8,31.67,22.26,26.63,83.12,4.36,1.35,0.4,169.12
1985,12,9,29.12,23.39,25.27,92,59.58,1.18,0.1,234.25
1985,12,10,29.37,22.76,25.61,83.5,29.63,1.35,0.59,208.81
