YEAR,MO,DY,HR,T2M,WS10M,PRECTOTCORR,RH2M
2014,6,3,4,24.42,0.97,0.04,92.56
2014,6,3,5,24.19,1.06,0.04,93.69
2014,6,3,6,24.56,0.86,0.04,95.19
2014,6,3,7,26.54,0.91,0.18,87.56
2014,6,3,8,28.16,1.27,0.21,77.06
2014,6,3,9,29.41,1.38,0.31,71.25
2014,6,3,10,30.53,1.36,0.46,67.12
2014,6,3,11,31.34,1.28,0.57,64.19
2014,6,3,12,31.81,1.24,0.54,62.5
2014,6,3,13,31.9,1.24,0.46,62.19
2014,6,3,14,31.72,1.25,0.35,63
2014,6,3,15,31.83,1.19,0.31,65.44
2014,6,3,16,31.36,1.07,0.23,70.44
2014,6,3,17,29.56,1.15,0.16,78.44
2014,6,3,18,27.51,1.38,0.13,87.94
2014,6,3,19,26.65,1.57,0.11,89.62
2014,6,3,20,26.18,1.56,0.1,90.62
2014,6,3,21,25.95,1.49,0.09,90.5
2014,6,3,22,25.83,1.38,0.09,89.62
2014,6,3,23,25.53,1.29,0.11,90.44
2014,6,4,0,25.03,1.28,0.13,92.81
2014,6,4,1,24.6,1.12,0.15,94.75
2014,6,4,2,24.29,1.02,0.16,96
2014,6,4,3,24.15,0.94,0.17,96.88
